accountsservice 22.08.8-2
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
alacritty 0.11.0-1
alsa-firmware 1.2.4-2
alsa-plugins 1:1.2.7.1-1
alsa-utils 1.2.7-1
ansible 6.4.0-1
ansible-core 2.13.4-1
ark 22.08.2-1
audiocd-kio 22.08.2-1
autoconf 2.71-1
automake 1.16.5-1
b43-fwcutter 019-3
barrier 2.4.0-1
base 3-1
bash-completion 2.11-3
bind 9.18.7-1
binutils 2.39-3
bison 3.8.2-4
bluez 5.65-3
bluez-utils 5.65-3
breeze-gtk 5.26.0-1
broot 1.16.1-1
btop 1.2.12-1
btrfs-progs 6.0-1
cantarell-fonts 1:0.303.1-1
cloudcross 1.4.8-1
cryptsetup 2.5.0-1
ddgr 2.0-4
device-mapper 2.03.16-2
dhclient 4.4.3.P1-1
dhcpcd 9.4.1-1
dialog 1:1.3_20220728-1
diffutils 3.8-1
digikam 7.8.0-2
dmidecode 3.4-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.87-1
docker 1:20.10.19-1
dolphin 22.08.2-1
dosfstools 4.2-2
downgrade 11.2.1-1
duf 0.8.1-2
e2fsprogs 1.46.5-4
efibootmgr 18-1
efitools 1.9.2-4
elisa 22.08.2-1
endeavouros-keyring 20220614-1
endeavouros-mirrorlist 4.8-1
endeavouros-theming 22.09.3.2-1
eos-apps-info 1.3-1
eos-hooks 1.8-1
eos-log-tool 1.10-1
eos-packagelist 2.0-1
eos-plasma-sddm-config 22.03.1.2-1
eos-quickstart 1.3-4
eos-rankmirrors 2.9-1
eos-update-notifier 1.17-1
ethtool 1:5.19-1
exfatprogs 1.1.3-1
f2fs-tools 1.15.0-2
fakeroot 1.29-1
ffmpegthumbnailer 2.2.2-4
file 5.43-1
findutils 4.9.0-1
firefox 105.0.3-1
firewalld 1.2.1-1
flex 2.6.4-3
fsarchiver 0.8.6-1
gameconqueror 0.17-6
gawk 5.2.0-3
gcc 12.2.0-1
