acpi 1.7-3
acpid 2.0.34-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
alsa-firmware 1.2.4-2
alsa-utils 1.2.8-1
ansible 6.6.0-1
appimagelauncher 2.2.0-9
ark 22.08.3-1
avahi 0.8+22+gfd482a7-3
b43-fwcutter 019-3
bash 5.1.016-2
bluedevil 1:5.26.3-1
breeze-gtk 5.26.3-1
btop 1.2.13-1
btrfs-progs 6.0.1-1
bzip2 1.0.8-4
code 1.73.0-1
coreutils 9.1-3
cpupower 6.0-2
cronie 1.6.1-1
cryptsetup 2.5.0-4
device-mapper 2.03.17-1
dhclient 4.4.3.P1-1
dhcpcd 9.4.1-1
diffutils 3.8-1
dmidecode 3.4-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.87-3
dolphin 22.08.3-1
dolphin-plugins 22.08.3-1
dosfstools 4.2-2
e2fsprogs 1.46.5-4
ecryptfs-utils 111-6
efibootmgr 18-1
exfatprogs 1.2.0-1
f2fs-tools 1.15.0-2
ffmpeg 2:5.1.2-1
ffmpegthumbs 22.08.3-1
file 5.43-1
filesystem 2022.10.18-1
findutils 4.9.0-1
firefox 107.0-1
gawk 5.2.0-3
gcc-libs 12.2.0-1
gettext 0.21.1-2
glibc 2.36-6
glibc-locales 2.35-1
gnome-themes-extra 3.28+r6+g45b1d457-1
grep 3.8-2
grub 2.06.r261.g2f4430cc0-3
grub-btrfs 4.11-2
grub-theme-manjaro 20.2-12
gst-libav 1.20.4-3
gst-plugins-bad 1.20.4-3
gst-plugins-base 1.20.4-3
gst-plugins-good 1.20.4-3
gst-plugins-ugly 1.20.4-3
gwenview 22.08.3-1
gzip 1.12-1
haveged 1.9.18-1
htop 3.2.1-1
inetutils 2.3-1
inotify-tools 3.22.6.0-1
intel-ucode 20221108-1
inxi 3.3.23.1-1
iproute2 6.0.0-1
iputils 20211215-1
jfsutils 1.1.15-8
kaccounts-providers 22.08.3-1
kamera 22.08.3-1
kate 22.08.3-1
kcalc 22.08.3-1
kde-gtk-config 5.26.3-1
kdeconnect 22.08.3-1
kdegraphics-thumbnailers 22.08.3-1
kdenetwork-filesharing 22.08.3-1
kdeplasma-addons 5.26.3-1
kfind 22.08.3-1
kgamma5 5.26.3-1
khelpcenter 22.08.3-1
khotkeys 5.26.3-1
kimageformats 5.99.0-3
kinfocenter 5.26.3-1
kinit 5.99.0-1
kio-extras 22.08.3-1
kmenuedit 5.26.3-1
konsole 22.08.3-1
kscreen 5.26.3-1
kscreenlocker 5.26.3-1
ksshaskpass 5.26.3-1
ksysguard 5.22.0-1
ksystemlog 22.08.3-1
kwallet-pam 5.26.3-1
kwalletmanager 22.08.3-1
kwayland-integration 5.26.3-1
kwin 5.26.3-1
kwrited 5.26.3-1
less 1:608-1
lib32-libcanberra 1:0.30+r2+gc0620e4-2
lib32-libva-intel-driver 2.4.1-1
lib32-libva-mesa-driver 22.2.3-1
lib32-libva-vdpau-driver 0.7.4-6
lib32-mesa-demos 8.5.0-1
lib32-mesa-vdpau 22.2.3-1
lib32-vulkan-intel 22.2.3-1
lib32-vulkan-radeon 22.2.3-1
libcanberra 1:0.30+r2+gc0620e4-2
libdvdcss 1.4.3-1
libva-intel-driver 2.4.1-2
libva-mesa-driver 22.2.3-1
libva-vdpau-driver 0.7.4-6
licenses 20220125-1
linux515 5.15.78-1
logrotate 3.20.1-1
lvm2 2.03.17-1
man-db 2.11.0-1
man-pages 6.01-1
manjaro-alsa 20221002-1
manjaro-application-utility 1.3.3-7
manjaro-browser-settings 20220522-1
